,resp.simple,resp.simple,Relapse,Relapse,vital.status,vital.status,Overall_Survival_binned,Overall_Survival_binned,Remission_Duration_binned,Remission_Duration_binned
,Information Gain,Threeshold,Information Gain,Threeshold,Information Gain,Threeshold,Information Gain,Threeshold,Information Gain,Threeshold
,,,,,,,,,,
ABS.BLST,0.013173371218278107,1432.32,0.017354291580428782,128908.79999999999,0.012375690643364412,242778.24,0.04170733499523105,2148.48,0.04028610739244087,2148.48
ACTB,0.01827648811114528,1.0662888480599575,0.01744523016256816,-1.410872111120014,0.024918440345119364,1.6044307116059517,0.042195100032263566,-0.4798012678420247,0.049095692543701386,0.16084380780796792
ACTB_Squared,0.019666502386166518,2.568551448141035,0.021363635738314873,1.984172157152382,0.02215774160268129,2.3511079910289783,0.028054948194786933,0.35334622881195477,0.03994857654422776,2.011352589291389
AHD,0.04222649642345594,4.032,0.032190504444120055,1.152,0.031290192110683866,6.047999999999999,0.018307052244778355,6.047999999999999,0.023465316349883025,100.22399999999999
AIFM1,0.01680096694268851,-1.6036351582640016,0.012617541529315934,-2.289655051172,0.024918440345119364,2.2984884440879902,0.026181926599828653,-1.410460722504002,0.03644507877164682,0.5515838488839884
AIFM1_Squared,0.015381575528214286,0.23048990250185808,0.01585687983026729,1.0179698407036373,0.024918440345119364,5.288388596355415,0.045878293542777615,0.1920754820422108,0.042619499104332936,0.011571180436697904
AKT1,0.011367707667164662,-1.078894217135998,0.026848584211105725,0.40801451899999375,0.010880270047654905,-1.4699119940399985,0.019260299593146346,-0.37288989772599734,0.049138107939069586,0.48059492099999357
AKT1_2_3.pS473,0.022551394780784384,1.6368309933959722,0.01297632031302104,0.12351916855399181,0.01714435361045849,0.1472668471739842,0.0282876105305232,0.15700256054798412,0.03852436953196925,-0.33170235270000625
AKT1_2_3.pS473_Squared,0.013954527499512315,3.2922227798833092,0.015227567808468012,0.03743431319204402,0.0035263045216782363,5.125379502502527,0.022160122644594875,3.2922227798833092,0.013635414386774292,5.125379502502527
AKT1_2_3.pT308,0.007185858819259039,-1.2177192101499896,0.017007627610692078,0.6608339735000306,0.013386585472308976,-0.15889832481997823,0.05617736575979804,-0.15889832481997823,0.037443728721164415,-0.7509272069399846
AKT1_2_3.pT308_Squared,0.0055272542869738706,6.420573691243216,0.016047925365651465,3.0749942731829965,0.01041825602952744,2.607597148601054,0.024070313652572506,0.17221213104251207,0.048642625009142404,0.565809709637832
AKT1_Squared,0.01610009895679003,1.1090006156919983,0.045740128828142934,0.023853947413490315,0.020752094006913246,0.01792104749010348,0.033574265066500186,0.2504462013691958,0.05354122947896589,0.10722202318971526
ALBUMIN,0.03899108455453955,4.10560000000002,0.023693031038060558,4.00240000000002,0.03501749401023202,3.0048000000000137,0.10216391531990343,4.200200000000021,0.04501522042412898,2.007200000000008
ARC,0.016422984855466227,-0.49766545461802547,0.04300453498146778,-0.019366507510031106,0.041166346279710414,0.5317170619839624,0.07420202162696216,0.4485346363999634,0.09327834201671417,0.4485346363999634
