,OS,Remission,pCR,pRelapse
Age.at.Dx,2.0,2.0,2.0,0.33227552537453175
AHD,0.7128328356863182,0.3479086320017754,0.33579001869142727,0.4104704615177693
WBC,0.39752962073098236,0.2356902625172648,0.30800594583987284,0.2651515453319229
ABS.BLST,0.49291535188306085,0.337999098434099,0.31980001780135936,0.4010007938661797
BM.BLAST,0.33916151399247435,0.29589629151751007,0.3853594016427031,0.22997458657456085
BM.MONOCYTES,0.3151776934021732,0.3207058994584266,0.3551185969167292,0.38298732279643993
BM.PROM,0.3140974781084305,0.3381036268238828,0.29351639132913304,0.28277515329189895
PB.BLAST,0.4712033359260107,0.31021973146511655,0.28799407373681224,0.29682211681246684
PB.MONO,0.302696656743447,0.3141946147687764,0.38333744537855197,0.24230376882650342
PB.PROM,0.5048607170635828,0.2556063418788554,0.3330892524038867,0.32573071803837234
HGB,0.28729449330984436,0.28872057158364944,0.41275742530659376,0.3755545538156654
PLT,0.36770730896920195,0.42804473735498605,0.3465066890698571,0.36046460431742694
LDH,0.36782102481370094,0.331038922332331,0.3193148233057492,0.2779867255807168
ALBUMIN,0.48081973053674565,2.0,0.6393507555264346,0.455937289043381
BILIRUBIN,0.4037637071338981,0.34500370084069665,0.489549165790545,0.39433228150644867
CREATININE,0.35489905335580374,0.39914352913218654,0.33020594024527483,0.2504942150412783
FIBRINOGEN,0.36046460431742694,0.18030007587445562,0.1863946491496527,0.2354749940004893
CD13,0.4021366889362621,0.3651961856600173,0.3043873687857678,0.24132737438026935
CD33,0.48895082318692873,0.2694725334780727,0.33947157152692475,0.3165507463929761
CD34,0.4086900275707788,0.20704113692187284,0.25977177856132555,0.21625254551065354
CD7,0.3104073352966215,0.28154860344364746,0.3410559004788265,0.31021973146511644
CD10,0.392505902478976,0.30533976168005494,0.3221030357521352,0.42925723846314706
CD20,0.22615018423806996,0.30175250802393294,0.2693096698018085,0.33632961860383004
HLA.DR,0.2966427236085781,0.27386393772734513,0.2337946007051929,0.3026966567434472
CD19,0.3140974781084306,0.260742161649162,0.2357631512431309,0.39877897000878826
ACTB,0.6655163982266525,0.3068554134255658,0.4280447373549862,0.4038885736508664
AIFM1,0.5676250382927486,0.2672225198608446,0.4456942288161038,0.3233062585970711
AKT1,0.4885042382607655,0.28854607478765204,0.3699847491801559,0.42395189249059295
AKT1_2_3.pS473,0.443087744454209,0.31556338503562403,0.3934616794020914,0.3846557844293965
AKT1_2_3.pT308,0.4990767937815992,0.3944542312945299,0.3082832500211618,0.2180733919438531
ARC,2.0,2.0,2.0,2.0
ASH2L,0.35890107300790935,0.3007183051570546,0.33579001869142727,0.2199095699040204
ASNS,0.4929153518830608,0.38656514666863934,0.6429218488885643,0.29914045534136235
ATF3,0.4613575015141702,0.2805836458538867,2.0,0.3545749050774447
ATG7,0.46915947042563916,0.26499129317233344,2.0,0.29188606185975263
BAD,0.47473686905808105,0.24147331590328894,0.2899783656871599,0.2253054176970932
BAD.pS112,0.3609007144795617,0.28417879837341664,0.29848001661460205,0.3923845550378016
BAD.pS136,0.6015741129685019,0.2848956717536784,0.4284360509044993,0.3167421788741034
BAD.pS155,0.396050166781412,0.3285749531816159,0.2739486319071911,0.2473252069608446
BAK1,0.42079635906532586,0.47560526372776213,0.3808320452484438,0.2533937430992827
BAX,0.3942103694204619,0.270399278747279,0.3687166924842589,0.2736138031522328
BCL2,0.4617792692074905,0.3260284972944584,0.3623659152211519,0.2522946364290957
BCL2L1,0.46958837058872616,0.3694234153659925,0.44059424921149015,0.367821024813701
BCL2L11,0.38167470210006865,0.3341314501745051,0.4281771129363367,0.42739531603266273
BECN1,0.3709180778426324,0.29443477019148145,0.6168981824871901,0.36644705779316894
BID,0.33663708725226055,0.2957174578634543,0.4836481750699571,0.3491051275208628
BIRC2,0.3709180778426323,0.310503330756627,0.48125929037480153,0.3055244143742321
BIRC5,0.4543746453572246,0.38013669441160614,0.21922364445949283,0.3244181438856843
BMI1,0.4636475973032905,0.3220985730465537,0.2888991765751209,0.33103892233233095
BRAF,0.4291245289493179,0.26187806946362757,0.27514207292868675,0.31921610367760483
CASP3,0.2547267674976691,0.3129285268396341,0.3466138484866296,0.22615018423806996
CASP3.cl175,0.49092908557621356,2.0,0.7954869442207166,0.3784878345332982
CASP7.cl198,0.5174082785046861,0.45126540667630516,0.30108630243843754,0.3634997162857797
CASP8,0.4344885855611844,0.35468455964178314,0.3853594016427029,0.3257307180383723
CASP9,0.4205420383703315,0.2095024555709021,0.428044737354986,0.23938305648272956
CASP9.cl315,0.7639856612295757,0.41225865182000637,0.45889670921751186,0.3816747021000688
CASP9.cl330,0.45240377505329493,2.0,2.0,0.5064403678929001
CAV1,0.5282869169123168,0.26384188161108163,0.4386831519908907,0.2564061045783106
CBL,0.4617792692074905,0.29571745786345427,0.4077877266060349,0.3800191710447677
CCNB1,0.39765255931673305,0.27728723694893703,0.4299094889510729,0.2716574803911999
CCND1,0.3067605457586225,0.39445423129453006,0.26000925891760895,0.33810362682388273
CCND3,0.41392088789148535,0.4543746453572247,0.44019183092948505,2.0
CCNE1,0.3337230640596505,0.40552267985710533,2.0,0.36463706488288805
CCNE2,0.38298732279644004,0.42765378121305686,2.0,0.5047046339173724
CD44,0.24518429196219216,0.2771196502260609,2.0,0.36770730896920195
CD74,0.24940768520345483,0.29923296644645386,0.35257951962599865,0.29923296644645386
CDK1,0.323206304973575,0.3233062585970711,2.0,0.4137986529154137
CDK2,2.0,0.3393666202222537,0.5661967425330504,0.30906092962564224
CDK4,0.3800191710447676,0.3288753326045827,0.4320434824531153,0.4137986529154136
CDKN1A,0.3448970392184682,0.2874682332182011,0.5736208865218899,0.5108625344634736
CDKN2A,0.5429503459229752,0.3192161036776048,0.3384127172501156,0.1847240387193771
CLPP,0.4787341534955502,0.24335935087255114,2.0,0.32180438320037713
COPS5,0.3623608946773728,0.3519357543045593,0.4163615655048586,0.3179297810079706
CREB1,0.4541000306341987,0.360682593484565,0.41480627904479145,0.372533960523374
CREB1.pS133,0.6463694594321132,0.3607941368907299,0.43528335756296144,0.261638882222766
CTNNA1,0.3945707519820283,0.2396018977050383,0.5015610704429188,0.392505902478976
CTNNB1,0.5772240865093633,0.3833374453785518,0.4027477301210552,0.3052453625932268
CTNNB1.pS33_37_41,0.47105765832288093,0.25347210674010373,0.3712571668605612,0.3165507463929759
CTSG,0.45593728904338104,0.44501803002151497,2.0,0.6256131298434339
DIABLO,0.45058075539678366,0.33020594024527494,0.45295739402644014,0.3128317816040528
DLX1,0.386212076054386,0.2911515987963838,0.47811389692770423,0.3691950281939242
DUSP6,0.45820047987113255,0.3820236246995175,0.3887189203876636,0.1979186129136184
EGFR,0.4240830023334097,0.45635410164113316,0.40778772660603496,0.392505902478976
EGFR.pY992,0.4207963590653257,0.4329994534782202,0.34822668605036916,0.38298732279644004
EGLN1,0.3682660351832264,0.31185602016287134,0.7024780759111773,0.30657514597197166
EIF2AK2,2.0,0.43086073814599507,0.3398822831483309,0.3877746643313957
EIF2AK2.pT451,0.48653574710807007,0.4025043176474794,0.30334413540387706,0.34361346370545715
EIF2S1,0.47310979316662294,0.2596914673088867,0.38715252710847176,0.28032737381010625
EIF2S1.pS51.,0.29664272360857813,0.3491051275208628,0.3261293236990369,0.5006452837742043
EIF4E,0.3286720133128098,0.4005162270193634,0.3316444629051135,0.2512779824867444
ELK1.pS383,0.49092908557621356,0.2851561200826167,0.3775354583470976,0.3832189324649646
