,OS,Remission,pCR,pRelapse
Age.at.Dx,0.46135750151417004,0.6283472821521205,0.46538601079112163,0.45016921590480014
AHD,0.6589582608672,0.49446447780168296,0.4732561054056195,0.6175160712000001
WBC,0.45935634276000015,0.6618289735789128,0.4450180300215147,0.5446491747984
ABS.BLST,0.5230810674763835,0.5126194461268558,0.39593320920793407,0.7175323284998398
BM.BLAST,0.5557644640800001,0.5148526424424023,0.5216107738316871,0.7001316000000001
BM.MONOCYTES,0.7938000000000001,0.5470219067335915,0.49078410930953154,0.6589582608671999
BM.PROM,0.567106596,0.5342441450408286,0.5110205219799371,0.5671065960000001
PB.BLAST,0.5103959364,0.5837331546966013,0.4728238553042471,0.5446491747984
PB.MONO,0.6175160712000001,0.4824733217390277,0.5458141982971617,0.6457790956498561
PB.PROM,0.686128968,0.46135750151417015,0.5987878781231102,0.6724063886400001
HGB,0.7471182095999999,0.5253598392269411,0.39421583124166576,0.6175160712000001
PLT,0.6589582608672001,0.5581856191159097,0.49878207257235346,0.7001316000000001
LDH,0.642978,0.5126194461268558,0.48457518824564927,0.5446491747984001
ALBUMIN,0.6301184400000001,0.5065969878259788,0.692752878572713,0.78447412008
BILIRUBIN,0.533756191302432,0.6485923941073345,0.49078410930953154,0.9417611811560401
CREATININE,0.4921675101000001,0.5581856191159095,0.6260001394254229,0.9417611811560401
FIBRINOGEN,0.5360814685989196,0.6618289735789128,0.41225865182000626,0.642978
CD13,0.5904900000000002,0.48247332173902746,0.4399257880088157,0.7175323284998398
CD33,0.5103959364,0.6078021185928791,0.4022610522874138,0.5230810674763833
CD34,0.59306243478048,0.5276485383119291,0.543118256801007,0.605165749776
CD7,0.6175160712000001,0.35734432358523016,0.47695248718127425,0.6051657497759999
CD10,0.567106596,0.470772960728745,0.6287272720292658,0.6724063886399999
CD20,0.5930624347804802,0.42554146977382235,0.4091901528258606,0.8470728
HLA.DR,0.645779095649856,0.6891180482912463,0.35479424811749893,0.5557644640800001
CD19,0.5581856191159096,0.5360814685989195,0.484381358170351,0.605165749776
ACTB,0.8168202000000001,0.5812011860848704,0.49862786870477327,0.77839444564938
AIFM1,0.5446491747984,0.6979478019999065,0.8183143378140174,1.2012259963724998
AKT1,0.49018425731856,0.5360814685989194,0.34896548546985445,0.7119714529539662
AKT1_2_3.pS473,0.6724063886400001,0.7062450513613198,0.5846201292210905,0.7534089449248319
AKT1_2_3.pT308,0.5103959364000001,0.4430877444542091,0.6413018174698512,0.8576612100000001
ARC,0.9805926501000002,0.7475700256016645,0.5029818176234125,2.0
ASH2L,0.5930624347804799,0.48038057217218894,0.8488490153022181,1.0131123043125
ASNS,0.6301184400000001,0.640972471224404,0.6207732288386014,0.8405079858
ATF3,0.6301184400000001,0.574373002070271,0.5008001115403382,0.847585063040436
ATG7,0.7471182096,0.42554146977382235,0.6566401265048321,0.907578
BAD,0.55576446408,0.5886481878591466,0.4949165115099175,1.0169108964
BAD.pS112,0.42041202325478755,0.5651629393548584,0.4772409218131349,0.8613975603640579
BAD.pS136,0.622715556519504,0.6589582608671999,0.5474722359982621,0.9194784389233303
BAD.pS155,0.7175323284998398,0.4450180300215147,0.46741343743764874,0.8470728
BAK1,0.6457790956498559,0.6618289735789129,0.5634001254828804,0.8241959532258352
BAX,0.7687846376783999,0.5606173217706156,0.5725814608611198,0.6483918747599999
BCL2,0.6227155565195039,2.0,0.7383407660263352,0.5954619258
BCL2L1,0.5743730020702708,0.583733154696601,0.5478530990201805,1.1576250000000001
BCL2L11,0.5446491747984,0.5045555895935541,0.5029818176234125,0.90812685325761
BECN1,0.6178895109564779,2.0,0.6254283800320727,0.6671952391280401
BID,0.6381922245225232,0.49847371251098516,0.6060302175090093,0.8969154106247997
BIRC2,0.583733154696601,2.0,0.8272862169736412,0.7718950890000001
BIRC5,0.8168202,0.5956460762210216,0.49272501239843586,0.823697826084
BMI1,0.6200145000000002,0.43422598956512487,0.7303334959963264,1.038291702224534
BRAF,0.732175845408,0.49446447780168296,0.5174082785046861,0.67240638864
CASP3,0.610261245389114,0.49446447780168296,0.660163635630729,0.8510143356225003
CASP3.cl175,0.6780680504323486,0.6306944869919427,0.6359471425297504,0.8039710563397874
CASP7.cl198,0.583552687284,0.6810220138127013,0.4434928101468737,0.83349
CASP8,0.9223681599999999,0.5360814685989195,0.6087256655779784,1.2826167949876492
CASP9,0.5230810674763834,0.5253598392269411,2.0,0.9189227250000003
CASP9.cl315,0.5382504184331984,0.5628855420288654,0.5961906089765932,0.7204354164000001
CASP9.cl330,0.5581856191159095,0.7945256827814848,0.38013669441160614,1.0767469504550724
CAV1,0.8969154106248,0.5956460762210216,0.8644086408527617,0.8168202000000001
CBL,0.7204354164,0.5276485383119293,0.543118256801007,0.8969154106248
CCNB1,0.7351381800000001,2.0,0.6354240372648,0.9189227250000002
CCND1,0.5230810674763834,0.5148526424424021,0.5980016767535199,0.73513818
CCND3,0.5786802000000001,0.5492351208502025,0.6441541434687599,2.0
CCNE1,0.4726776767000401,0.7478012164284712,0.7489374901230824,0.9115318099090558
CCNE2,0.5382504184331984,0.5653377196199243,0.6653198645812336,0.9229259575329192
CD44,0.533756191302432,0.6512165556352276,0.5635743605864463,1.0341077712170512
CD74,0.6724063886399999,0.49231971606023206,0.5820314208956524,0.706026708072
CDK1,0.7972581427776,0.5296195808198383,0.5191877016917673,0.847585063040436
CDK2,0.7687846376784,0.5045555895935541,0.56090537971124,0.78764805
CDK4,0.64839187476,0.5956460762210215,0.6797191894109269,0.622715556519504
CDKN1A,0.514693470184488,0.525359839226941,1.6808779516513879,0.7351381800000001
CDKN2A,0.6379949205000001,0.5023670572043187,0.6846141406540892,0.715284345120993
CLPP,0.830131344,0.6674015735364474,0.638520142213931,1.09872137801538
COPS5,0.6301184400000001,0.645779095649856,0.7505444608210825,0.81048984345
CREB1,0.5337561913024321,0.6102612453891142,0.45391839062194517,0.9152198067599999
CREB1.pS133,0.48038057217218894,0.6647121923808633,0.4966185830708813,0.6354240372648001
CTNNA1,0.605165749776,0.756691126458557,0.59878787812311,1.0254732861476876
CTNNB1,0.8236978260840001,0.506596987825979,0.5912125988939063,0.6227155565195039
CTNNB1.pS33_37_41,0.470772960728745,0.5126194461268557,0.5427331657846062,0.7471182095999999
CTSG,0.6175160712000001,0.3908033906086123,0.6925553354599175,0.71442
DIABLO,0.6202062434621217,0.5230810674763834,0.7101799431743081,0.7237876924469365
DLX1,0.69190617391056,0.5724044411151734,0.6107636356855723,0.8405079857999999
DUSP6,0.7204354164000001,0.6618289735789128,0.5586959059547416,0.7687846376783998
EGFR,0.6861289680000001,2.0,0.7786351691258551,0.9684865679999999
EGFR.pY992,0.6589582608672,0.46336737819816215,0.6873840437637745,0.847585063040436
EGLN1,0.7501410000000002,0.6356205462251878,0.4927697890520822,0.9965726784719998
EIF2AK2,2.0,0.69190617391056,0.8555031059931985,0.6861289679999999
EIF2AK2.pT451,0.59306243478048,0.3753275763405113,0.8501853498890598,0.7501410000000001
EIF2S1,0.732175845408,0.523559262140012,0.6469603629181144,0.8203786289181504
EIF2S1.pS51.,0.5786802000000002,0.6949204222578585,0.641689641537457,0.7148520419229
