,pCR,pRelapse,OS,Remission
Age.at.Dx,1.0,1.0,1.0,1.0
AHD,1.0,1.0,1.0,1.0
WBC,1.0,1.0,1.0,1.0
ABS.BLST,1.0,1.0,1.0,1.0
BM.BLAST,1.0,1.0,1.0,1.0
BM.MONOCYTES,1.0,1.0,1.0,1.0
BM.PROM,1.0,1.0,1.0,1.0
PB.BLAST,1.0,1.0,1.0,1.0
PB.MONO,1.0,1.0,1.0,1.0
PB.PROM,1.0,1.0,1.0,1.0
HGB,1.0,1.0,1.0,1.0
PLT,1.0,1.0,1.0,1.0
LDH,1.0,1.0,1.0,1.0
ALBUMIN,1.0,1.0,1.0,1.0
BILIRUBIN,1.0,1.0,1.0,1.0
CREATININE,1.0,1.0,1.0,1.0
FIBRINOGEN,1.0,1.0,1.0,1.0
CD13,1.0,1.0,1.0,1.0
CD33,1.0,1.0,1.0,1.0
CD34,1.0,1.0,1.0,1.0
CD7,1.0,1.0,1.0,1.0
CD10,1.0,1.0,1.0,1.0
CD20,1.0,1.0,1.0,1.0
HLA.DR,1.0,1.0,1.0,1.0
CD19,1.0,1.0,1.0,1.0
ACTB,1.0,1.0,1.0,1.0
AIFM1,1.0,1.0,1.0,1.0
AKT1,1.0,1.0,1.0,1.0
AKT1_2_3.pS473,1.0,1.0,1.0,1.0
AKT1_2_3.pT308,1.0,1.0,1.0,1.0
ARC,1.0,1.0,1.0,1.0
ASH2L,1.0,1.0,1.0,1.0
ASNS,1.0,1.0,1.0,1.0
ATF3,1.0,1.0,1.0,1.0
ATG7,1.0,1.0,1.0,1.0
BAD,1.0,1.0,1.0,1.0
BAD.pS112,1.0,1.0,1.0,1.0
BAD.pS136,1.0,1.0,1.0,1.0
BAD.pS155,1.0,1.0,1.0,1.0
BAK1,1.0,1.0,1.0,1.0
BAX,1.0,1.0,1.0,1.0
BCL2,1.0,1.0,1.0,1.0
BCL2L1,1.0,1.0,1.0,1.0
BCL2L11,1.0,1.0,1.0,1.0
BECN1,1.0,1.0,1.0,1.0
BID,1.0,1.0,1.0,1.0
BIRC2,1.0,1.0,1.0,1.0
BIRC5,1.0,1.0,1.0,1.0
BMI1,1.0,1.0,1.0,1.0
BRAF,1.0,1.0,1.0,1.0
CASP3,1.0,1.0,1.0,1.0
CASP3.cl175,1.0,1.0,1.0,1.0
CASP7.cl198,1.0,1.0,1.0,1.0
CASP8,1.0,1.0,1.0,1.0
CASP9,1.0,1.0,1.0,1.0
CASP9.cl315,1.0,1.0,1.0,1.0
CASP9.cl330,1.0,1.0,1.0,1.0
CAV1,1.0,1.0,1.0,1.0
CBL,1.0,1.0,1.0,1.0
CCNB1,1.0,1.0,1.0,1.0
CCND1,1.0,1.0,1.0,1.0
CCND3,1.0,1.0,1.0,1.0
CCNE1,1.0,1.0,1.0,1.0
CCNE2,1.0,1.0,1.0,1.0
CD44,1.0,1.0,1.0,1.0
CD74,1.0,1.0,1.0,1.0
CDK1,1.0,1.0,1.0,1.0
CDK2,1.0,1.0,1.0,1.0
CDK4,1.0,1.0,1.0,1.0
CDKN1A,1.0,1.0,1.0,1.0
CDKN2A,1.0,1.0,1.0,1.0
CLPP,1.0,1.0,1.0,1.0
COPS5,1.0,1.0,1.0,1.0
CREB1,1.0,1.0,1.0,1.0
CREB1.pS133,1.0,1.0,1.0,1.0
CTNNA1,1.0,1.0,1.0,1.0
CTNNB1,1.0,1.0,1.0,1.0
CTNNB1.pS33_37_41,1.0,1.0,1.0,1.0
CTSG,1.0,1.0,1.0,1.0
DIABLO,1.0,1.0,1.0,1.0
DLX1,1.0,1.0,1.0,1.0
DUSP6,1.0,1.0,1.0,1.0
EGFR,1.0,1.0,1.0,1.0
EGFR.pY992,1.0,1.0,1.0,1.0
EGLN1,1.0,1.0,1.0,1.0
EIF2AK2,1.0,1.0,1.0,1.0
EIF2AK2.pT451,1.0,1.0,1.0,1.0
EIF2S1,1.0,1.0,1.0,1.0
EIF2S1.pS51.,1.0,1.0,1.0,1.0
EIF4E,1.0,1.0,1.0,1.0
ELK1.pS383,1.0,1.0,1.0,1.0
ERBB2,1.0,1.0,1.0,1.0
ERBB2.pY1248,1.0,1.0,1.0,1.0
ERBB3,1.0,1.0,1.0,1.0
ERG,1.0,1.0,1.0,1.0
Fli1,1.0,1.0,1.0,1.0
FN1,1.0,1.0,1.0,1.0
FOXO1.pT24_FOXO3.pT32,1.0,1.0,1.0,1.0
FOXO3,1.0,1.0,1.0,1.0
FOXO3.S318_321,1.0,1.0,1.0,1.0
GAB2,1.0,1.0,1.0,1.0
GAB2.pY452,1.0,1.0,1.0,1.0
GAPDH,1.0,1.0,1.0,1.0
GATA1,1.0,1.0,1.0,1.0
GATA3,1.0,1.0,1.0,1.0
GRP78,1.0,1.0,1.0,1.0
GSKA_B,1.0,1.0,1.0,1.0
GSKA_B.pS21_9,1.0,1.0,1.0,1.0
H3histon,1.0,1.0,1.0,1.0
H3K27Me3,1.0,1.0,1.0,1.0
H3K4Me2,1.0,1.0,1.0,1.0
H3K4Me3,1.0,1.0,1.0,1.0
HDAC1,1.0,1.0,1.0,1.0
HDAC2,1.0,1.0,1.0,1.0
HDAC3,1.0,1.0,1.0,1.0
HIF1A,1.0,1.0,1.0,1.0
HNRNPK,1.0,1.0,1.0,1.0
HSP90AA1_B1,1.0,1.0,1.0,1.0
HSPA1A_L,1.0,1.0,1.0,1.0
HSPB1,1.0,1.0,1.0,1.0
IGF1R,1.0,1.0,1.0,1.0
IGFBP2,1.0,1.0,1.0,1.0
INPP5D,1.0,1.0,1.0,1.0
INPPL1,1.0,1.0,1.0,1.0
IRS1.pS1101,1.0,1.0,1.0,1.0
ITGA2,1.0,1.0,1.0,1.0
ITGAL,1.0,1.0,1.0,1.0
ITGB3,1.0,1.0,1.0,1.0
JMJD6,1.0,1.0,1.0,1.0
JUNB,1.0,1.0,1.0,1.0
JUN.pS73,1.0,1.0,1.0,1.0
KDR,1.0,1.0,1.0,1.0
KIT,1.0,1.0,1.0,1.0
LCK,1.0,1.0,1.0,1.0
LEF1,1.0,1.0,1.0,1.0
LGALS3,1.0,1.0,1.0,1.0
LSD1,1.0,1.0,1.0,1.0
LYN,1.0,1.0,1.0,1.0
MAP2K1,1.0,1.0,1.0,1.0
MAP2K1_2.pS217_221,1.0,1.0,1.0,1.0
MAPK1,1.0,1.0,1.0,1.0
MAPK1_3.pT202Y204,1.0,1.0,1.0,1.0
MAPK14,1.0,1.0,1.0,1.0
MAPK14.pT180Y182,1.0,1.0,1.0,1.0
MAPK9,1.0,1.0,1.0,1.0
MAPT,1.0,1.0,1.0,1.0
MCL1,1.0,1.0,1.0,1.0
MDM2,1.0,1.0,1.0,1.0
MDM4,1.0,1.0,1.0,1.0
MET.pY1230_1234_1235,1.0,1.0,1.0,1.0
MSI2,1.0,1.0,1.0,1.0
MTOR,1.0,1.0,1.0,1.0
MTOR.pS2448,1.0,1.0,1.0,1.0
MYC,1.0,1.0,1.0,1.0
NCL,1.0,1.0,1.0,1.0
NF2,1.0,1.0,1.0,1.0
NF2.pS518,1.0,1.0,1.0,1.0
NOTCH1.cl1744,1.0,1.0,1.0,1.0
NOTCH3,1.0,1.0,1.0,1.0
NPM1,1.0,1.0,1.0,1.0
NPM1.3542,1.0,1.0,1.0,1.0
NR4A1,1.0,1.0,1.0,1.0
NRP1,1.0,1.0,1.0,1.0
ODC1,1.0,1.0,1.0,1.0
PA2G4,1.0,1.0,1.0,1.0
PA2G4.pS65,1.0,1.0,1.0,1.0
PA2G4.pT37_46,1.0,1.0,1.0,1.0
PA2G4.pT70,1.0,1.0,1.0,1.0
PARK7,1.0,1.0,1.0,1.0
PARP1,1.0,1.0,1.0,1.0
PARP1.cl214,1.0,1.0,1.0,1.0
PDK1,1.0,1.0,1.0,1.0
PDK1.pS241,1.0,1.0,1.0,1.0
PIK3CA,1.0,1.0,1.0,1.0
PIK3R1_2,1.0,1.0,1.0,1.0
PIM1,1.0,1.0,1.0,1.0
PIM2,1.0,1.0,1.0,1.0
PLAC1,1.0,1.0,1.0,1.0
PPARA,1.0,1.0,1.0,1.0
PPARG,1.0,1.0,1.0,1.0
PPP2R2A_B_C_D,1.0,1.0,1.0,1.0
PRKAA1_2,1.0,1.0,1.0,1.0
PRKAA1_2.pT172,1.0,1.0,1.0,1.0
PRKCA,1.0,1.0,1.0,1.0
PRKCA.pS657,1.0,1.0,1.0,1.0
PRKCB.I,1.0,1.0,1.0,1.0
PRKCB.II,1.0,1.0,1.0,1.0
PRKCD.pS645,1.0,1.0,1.0,1.0
PRKCD.pS664,1.0,1.0,1.0,1.0
PRKCD.pT507,1.0,1.0,1.0,1.0
CDKN1B,1.0,1.0,1.0,1.0
CDKN1B.pS10,1.0,1.0,1.0,1.0
PTEN,1.0,1.0,1.0,1.0
PTEN.pS380T382T383,1.0,1.0,1.0,1.0
PTGS2,1.0,1.0,1.0,1.0
PTK2,1.0,1.0,1.0,1.0
PTPN11,1.0,1.0,1.0,1.0
RAC1_2_3,1.0,1.0,1.0,1.0
RB1,1.0,1.0,1.0,1.0
RB1.pS807_811,1.0,1.0,1.0,1.0
RELA,1.0,1.0,1.0,1.0
RPS6,1.0,1.0,1.0,1.0
RPS6KB1,1.0,1.0,1.0,1.0
RPS6KB1.pT389,1.0,1.0,1.0,1.0
RPS6.pS235_236,1.0,1.0,1.0,1.0
RPS6.pS240_244,1.0,1.0,1.0,1.0
SFN,1.0,1.0,1.0,1.0
SIRT1,1.0,1.0,1.0,1.0
SMAD1,1.0,1.0,1.0,1.0
SMAD2,1.0,1.0,1.0,1.0
SMAD2.pS245,1.0,1.0,1.0,1.0
SMAD2.pS465,1.0,1.0,1.0,1.0
SMAD3,1.0,1.0,1.0,1.0
SMAD4,1.0,1.0,1.0,1.0
SMAD5,1.0,1.0,1.0,1.0
SMAD5.pS463,1.0,1.0,1.0,1.0
SMAD6,1.0,1.0,1.0,1.0
SOCS2,1.0,1.0,1.0,1.0
SPI1,1.0,1.0,1.0,1.0
SPP1,1.0,1.0,1.0,1.0
SQSTM0,1.0,1.0,1.0,1.0
SRC,1.0,1.0,1.0,1.0
SRC.pY416,1.0,1.0,1.0,1.0
SRC.pY527,1.0,1.0,1.0,1.0
SSBP2,1.0,1.0,1.0,1.0
STAT1,1.0,1.0,1.0,1.0
STAT1.pY701,1.0,1.0,1.0,1.0
STAT3,1.0,1.0,1.0,1.0
STAT3.pS727,1.0,1.0,1.0,1.0
STAT3.pY705,1.0,1.0,1.0,1.0
STAT5A_B,1.0,1.0,1.0,1.0
STAT5A_B.pY694,1.0,1.0,1.0,1.0
STAT6.pY641,1.0,1.0,1.0,1.0
STK11,1.0,1.0,1.0,1.0
STMN1,1.0,1.0,1.0,1.0
TAZ,1.0,1.0,1.0,1.0
TAZ.pS89,1.0,1.0,1.0,1.0
TCF4,1.0,1.0,1.0,1.0
TGM2,1.0,1.0,1.0,1.0
TNK1,1.0,1.0,1.0,1.0
TP53,1.0,1.0,1.0,1.0
TP53.pS15,1.0,1.0,1.0,1.0
TRIM24,1.0,1.0,1.0,1.0
TRIM62,1.0,1.0,1.0,1.0
TSC2,1.0,1.0,1.0,1.0
VASP,1.0,1.0,1.0,1.0
VHL,1.0,1.0,1.0,1.0
WTAP,1.0,1.0,1.0,1.0
XIAP,1.0,1.0,1.0,1.0
XPO1,1.0,1.0,1.0,1.0
YAP1,1.0,1.0,1.0,1.0
YAP1p,1.0,1.0,1.0,1.0
YWHAE,1.0,1.0,1.0,1.0
YWHAZ,1.0,1.0,1.0,1.0
ZNF296,1.0,1.0,1.0,1.0
ZNF346,1.0,1.0,1.0,1.0
Ras.Stat,1.0,1.0,1.0,1.0
PRIOR.MAL,1.0,1.0,1.0,1.0
PRIOR.CHEMO,1.0,1.0,1.0,1.0
ITD,1.0,1.0,1.0,1.0
Infection,1.0,1.0,1.0,1.0
SEX,1.0,1.0,1.0,1.0
D835,1.0,1.0,1.0,1.0
PRIOR.XRT,1.0,1.0,1.0,1.0
cyto.cat=diploid,1.0,1.0,1.0,1.0
cyto.cat=-5,1.0,1.0,1.0,1.0
cyto.cat=IM,1.0,1.0,1.0,1.0
cyto.cat=Misc,1.0,1.0,1.0,1.0
cyto.cat=11q23,1.0,1.0,1.0,1.0
"cyto.cat=-5,-7",1.0,1.0,1.0,1.0
cyto.cat=8,1.0,1.0,1.0,1.0
cyto.cat=-7,1.0,1.0,1.0,1.0
"cyto.cat=-5,-7,+8",1.0,1.0,1.0,1.0
cyto.cat=t6;9,1.0,1.0,1.0,1.0
cyto.cat=21,1.0,1.0,1.0,1.0
cyto.cat=inv9,1.0,1.0,1.0,1.0
"cyto.cat=-7,+8",1.0,1.0,1.0,1.0
cyto.cat=t9;22,1.0,1.0,1.0,1.0
PCA_Sq_1,1.0,1.0,1.0,1.0
PCA_Sq_2,1.0,1.0,1.0,1.0
PCA_Sq_3,1.0,1.0,1.0,1.0
PCA_Sq_4,1.0,1.0,1.0,1.0
PCA_Sq_5,1.0,1.0,1.0,1.0
PCA_Sq_6,1.0,1.0,1.0,1.0
PCA_Sq_7,1.0,1.0,1.0,1.0
PCA_Sq_8,1.0,1.0,1.0,1.0
PCA_Sq_9,1.0,1.0,1.0,1.0
PCA_Sq_10,1.0,1.0,1.0,1.0
PCA_Sq_11,1.0,1.0,1.0,1.0
PCA_Sq_12,1.0,1.0,1.0,1.0
PCA_Sq_13,1.0,1.0,1.0,1.0
PCA_Sq_14,1.0,1.0,1.0,1.0
PCA_Sq_15,1.0,1.0,1.0,1.0
PCA_Sq_16,1.0,1.0,1.0,1.0
PCA_Sq_17,1.0,1.0,1.0,1.0
PCA_Sq_18,1.0,1.0,1.0,1.0
PCA_Sq_19,1.0,1.0,1.0,1.0
PCA_Sq_20,1.0,1.0,1.0,1.0
PCA_Sq_21,1.0,1.0,1.0,1.0
PCA_Sq_22,1.0,1.0,1.0,1.0
PCA_Sq_23,1.0,1.0,1.0,1.0
PCA_Sq_24,1.0,1.0,1.0,1.0
PCA_Sq_25,1.0,1.0,1.0,1.0
PCA_Sq_26,1.0,1.0,1.0,1.0
PCA_Sq_27,1.0,1.0,1.0,1.0
PCA_Sq_28,1.0,1.0,1.0,1.0
PCA_Sq_29,1.0,1.0,1.0,1.0
PCA_Sq_30,1.0,1.0,1.0,1.0
PCA_Sq_31,1.0,1.0,1.0,1.0
PCA_Sq_32,1.0,1.0,1.0,1.0
PCA_Sq_33,1.0,1.0,1.0,1.0
PCA_Sq_34,1.0,1.0,1.0,1.0
PCA_Sq_35,1.0,1.0,1.0,1.0
PCA_Sq_36,1.0,1.0,1.0,1.0
PCA_Sq_37,1.0,1.0,1.0,1.0
PCA_Sq_38,1.0,1.0,1.0,1.0
PCA_Sq_39,1.0,1.0,1.0,1.0
PCA_Sq_40,1.0,1.0,1.0,1.0
PCA_Sq_41,1.0,1.0,1.0,1.0
PCA_Sq_42,1.0,1.0,1.0,1.0
PCA_Sq_43,1.0,1.0,1.0,1.0
PCA_Sq_44,1.0,1.0,1.0,1.0
PCA_Sq_45,1.0,1.0,1.0,1.0
PCA_Sq_46,1.0,1.0,1.0,1.0
PCA_Sq_47,1.0,1.0,1.0,1.0
PCA_Sq_48,1.0,1.0,1.0,1.0
PCA_Sq_49,1.0,1.0,1.0,1.0
PCA_Sq_50,1.0,1.0,1.0,1.0
PCA_Sq_51,1.0,1.0,1.0,1.0
PCA_Sq_52,1.0,1.0,1.0,1.0
PCA_Sq_53,1.0,1.0,1.0,1.0
PCA_Sq_54,1.0,1.0,1.0,1.0
PCA_Sq_55,1.0,1.0,1.0,1.0
PCA_Sq_56,1.0,1.0,1.0,1.0
PCA_Sq_57,1.0,1.0,1.0,1.0
PCA_Sq_58,1.0,1.0,1.0,1.0
PCA_Sq_59,1.0,1.0,1.0,1.0
PCA_Sq_60,1.0,1.0,1.0,1.0
PCA_Sq_61,1.0,1.0,1.0,1.0
PCA_Sq_62,1.0,1.0,1.0,1.0
PCA_Sq_63,1.0,1.0,1.0,1.0
PCA_Sq_64,1.0,1.0,1.0,1.0
PCA_Sq_65,1.0,1.0,1.0,1.0
PCA_Sq_66,1.0,1.0,1.0,1.0
PCA_Sq_67,1.0,1.0,1.0,1.0
PCA_Sq_68,1.0,1.0,1.0,1.0
PCA_Sq_69,1.0,1.0,1.0,1.0
PCA_Sq_70,1.0,1.0,1.0,1.0
PCA_Sq_71,1.0,1.0,1.0,1.0
PCA_Sq_72,1.0,1.0,1.0,1.0
PCA_Sq_73,1.0,1.0,1.0,1.0
PCA_Sq_74,1.0,1.0,1.0,1.0
PCA_Sq_75,1.0,1.0,1.0,1.0
PCA_Sq_76,1.0,1.0,1.0,1.0
PCA_Sq_77,1.0,1.0,1.0,1.0
PCA_Sq_78,1.0,1.0,1.0,1.0
PCA_Sq_79,1.0,1.0,1.0,1.0
PCA_Sq_80,1.0,1.0,1.0,1.0
PCA_Sq_81,1.0,1.0,1.0,1.0
PCA_Sq_82,1.0,1.0,1.0,1.0
PCA_Sq_83,1.0,1.0,1.0,1.0
PCA_Sq_84,1.0,1.0,1.0,1.0
PCA_Sq_85,1.0,1.0,1.0,1.0
PCA_Sq_86,1.0,1.0,1.0,1.0
PCA_Sq_87,1.0,1.0,1.0,1.0
PCA_Sq_88,1.0,1.0,1.0,1.0
PCA_Sq_89,1.0,1.0,1.0,1.0
PCA_Sq_90,1.0,1.0,1.0,1.0
PCA_Sq_91,1.0,1.0,1.0,1.0
PCA_Sq_92,1.0,1.0,1.0,1.0
PCA_Sq_93,1.0,1.0,1.0,1.0
PCA_Sq_94,1.0,1.0,1.0,1.0
PCA_Sq_95,1.0,1.0,1.0,1.0
PCA_Sq_96,1.0,1.0,1.0,1.0
PCA_Sq_97,1.0,1.0,1.0,1.0
PCA_Sq_98,1.0,1.0,1.0,1.0
PCA_Sq_99,1.0,1.0,1.0,1.0
PCA_Sq_100,1.0,1.0,1.0,1.0
PCA_Sq_101,1.0,1.0,1.0,1.0
PCA_Sq_102,1.0,1.0,1.0,1.0
PCA_Sq_103,1.0,1.0,1.0,1.0
PCA_Sq_104,1.0,1.0,1.0,1.0
PCA_Sq_105,1.0,1.0,1.0,1.0
PCA_Sq_106,1.0,1.0,1.0,1.0
PCA_Sq_107,1.0,1.0,1.0,1.0
PCA_Sq_108,1.0,1.0,1.0,1.0
PCA_Sq_109,1.0,1.0,1.0,1.0
PCA_Sq_110,1.0,1.0,1.0,1.0
PCA_Sq_111,1.0,1.0,1.0,1.0
PCA_Sq_112,1.0,1.0,1.0,1.0
PCA_Sq_113,1.0,1.0,1.0,1.0
PCA_Sq_114,1.0,1.0,1.0,1.0
PCA_Sq_115,1.0,1.0,1.0,1.0
PCA_Sq_116,1.0,1.0,1.0,1.0
PCA_Sq_117,1.0,1.0,1.0,1.0
PCA_Sq_118,1.0,1.0,1.0,1.0
PCA_Sq_119,1.0,1.0,1.0,1.0
PCA_Sq_120,1.0,1.0,1.0,1.0
PCA_Sq_121,1.0,1.0,1.0,1.0
PCA_Sq_122,1.0,1.0,1.0,1.0
PCA_Sq_123,1.0,1.0,1.0,1.0
PCA_Sq_124,1.0,1.0,1.0,1.0
PCA_Sq_125,1.0,1.0,1.0,1.0
PCA_Sq_126,1.0,1.0,1.0,1.0
PCA_Sq_127,1.0,1.0,1.0,1.0
PCA_Sq_128,1.0,1.0,1.0,1.0
PCA_Sq_129,1.0,1.0,1.0,1.0
PCA_Sq_130,1.0,1.0,1.0,1.0
PCA_Sq_131,1.0,1.0,1.0,1.0
PCA_Sq_132,1.0,1.0,1.0,1.0
PCA_Sq_133,1.0,1.0,1.0,1.0
PCA_Sq_134,1.0,1.0,1.0,1.0
PCA_Sq_135,1.0,1.0,1.0,1.0
PCA_Sq_136,1.0,1.0,1.0,1.0
PCA_Sq_137,1.0,1.0,1.0,1.0
PCA_Sq_138,1.0,1.0,1.0,1.0
PCA_Sq_139,1.0,1.0,1.0,1.0
PCA_Sq_140,1.0,1.0,1.0,1.0
PCA_Sq_141,1.0,1.0,1.0,1.0
PCA_Sq_142,1.0,1.0,1.0,1.0
PCA_Sq_143,1.0,1.0,1.0,1.0
PCA_Sq_144,1.0,1.0,1.0,1.0
PCA_Sq_145,1.0,1.0,1.0,1.0
PCA_Sq_146,1.0,1.0,1.0,1.0
PCA_Sq_147,1.0,1.0,1.0,1.0
PCA_Sq_148,1.0,1.0,1.0,1.0
PCA_Sq_149,1.0,1.0,1.0,1.0
PCA_Sq_150,1.0,1.0,1.0,1.0
PCA_Sq_151,1.0,1.0,1.0,1.0
PCA_Sq_152,1.0,1.0,1.0,1.0
PCA_Sq_153,1.0,1.0,1.0,1.0
PCA_Sq_154,1.0,1.0,1.0,1.0
PCA_Sq_155,1.0,1.0,1.0,1.0
PCA_Sq_156,1.0,1.0,1.0,1.0
PCA_Sq_157,1.0,1.0,1.0,1.0
PCA_Sq_158,1.0,1.0,1.0,1.0
PCA_Sq_159,1.0,1.0,1.0,1.0
PCA_Sq_160,1.0,1.0,1.0,1.0
PCA_Sq_161,1.0,1.0,1.0,1.0
PCA_Sq_162,1.0,1.0,1.0,1.0
PCA_Sq_163,1.0,1.0,1.0,1.0
PCA_Sq_164,1.0,1.0,1.0,1.0
PCA_Sq_165,1.0,1.0,1.0,1.0
PCA_Sq_166,1.0,1.0,1.0,1.0
PCA_Sq_167,1.0,1.0,1.0,1.0
PCA_Sq_168,1.0,1.0,1.0,1.0
PCA_Sq_169,1.0,1.0,1.0,1.0
PCA_Sq_170,1.0,1.0,1.0,1.0
PCA_Sq_171,1.0,1.0,1.0,1.0
PCA_Sq_172,1.0,1.0,1.0,1.0
PCA_Sq_173,1.0,1.0,1.0,1.0
PCA_Sq_174,1.0,1.0,1.0,1.0
PCA_Sq_175,1.0,1.0,1.0,1.0
PCA_Sq_176,1.0,1.0,1.0,1.0
PCA_Sq_177,1.0,1.0,1.0,1.0
PCA_Sq_178,1.0,1.0,1.0,1.0
PCA_Sq_179,1.0,1.0,1.0,1.0
PCA_Sq_180,1.0,1.0,1.0,1.0
PCA_Sq_181,1.0,1.0,1.0,1.0
PCA_Sq_182,1.0,1.0,1.0,1.0
PCA_Sq_183,1.0,1.0,1.0,1.0
PCA_Sq_184,1.0,1.0,1.0,1.0
PCA_Sq_185,1.0,1.0,1.0,1.0
PCA_Sq_186,1.0,1.0,1.0,1.0
PCA_Sq_187,1.0,1.0,1.0,1.0
PCA_Sq_188,1.0,1.0,1.0,1.0
PCA_Sq_189,1.0,1.0,1.0,1.0
PCA_Sq_190,1.0,1.0,1.0,1.0
PCA_Sq_191,1.0,1.0,1.0,1.0
PCA_Sq_192,1.0,1.0,1.0,1.0
PCA_Sq_193,1.0,1.0,1.0,1.0
PCA_Sq_194,1.0,1.0,1.0,1.0
PCA_Sq_195,1.0,1.0,1.0,1.0
PCA_Sq_196,1.0,1.0,1.0,1.0
PCA_Sq_197,1.0,1.0,1.0,1.0
PCA_Sq_198,1.0,1.0,1.0,1.0
PCA_Sq_199,1.0,1.0,1.0,1.0
PCA_Sq_200,1.0,1.0,1.0,1.0
