,OS,Remission,pCR,pRelapse
Age.at.Dx,1.0,1.0,1.0,1.0
AHD,1.0,1.0,1.0,1.0
WBC,1.0,1.0,1.0,1.0
ABS.BLST,1.0,1.0,1.0,1.0
BM.BLAST,1.0,1.0,1.0,1.0
BM.MONOCYTES,1.0,1.0,1.0,1.0
BM.PROM,1.0,1.0,1.0,1.0
PB.BLAST,1.0,1.0,1.0,1.0
PB.MONO,1.0,1.0,1.0,1.0
PB.PROM,1.0,1.0,1.0,1.0
HGB,1.0,1.0,1.0,1.0
PLT,1.0,1.0,1.0,1.0
LDH,1.0,1.0,1.0,1.0
ALBUMIN,1.0,1.0,1.0,1.0
BILIRUBIN,1.0,1.0,1.0,1.0
CREATININE,1.0,1.0,1.0,1.0
FIBRINOGEN,1.0,1.0,1.0,1.0
CD13,1.0,1.0,1.0,1.0
CD33,1.0,1.0,1.0,1.0
CD34,1.0,1.0,1.0,1.0
CD7,1.0,1.0,1.0,1.0
CD10,1.0,1.0,1.0,1.0
CD20,1.0,1.0,1.0,1.0
HLA.DR,1.0,1.0,1.0,1.0
CD19,1.0,1.0,1.0,1.0
ACTB,1.0,1.0,1.0,1.0
AIFM1,1.0,1.0,1.0,1.0
AKT1,1.0,1.0,1.0,1.0
AKT1_2_3.pS473,1.0,1.0,1.0,1.0
AKT1_2_3.pT308,1.0,1.0,1.0,1.0
ARC,1.0,1.0,1.0,1.0
ASH2L,1.0,1.0,1.0,1.0
ASNS,1.0,1.0,1.0,1.0
ATF3,1.0,1.0,1.0,1.0
ATG7,1.0,1.0,1.0,1.0
BAD,1.0,1.0,1.0,1.0
BAD.pS112,1.0,1.0,1.0,1.0
BAD.pS136,1.0,1.0,1.0,1.0
BAD.pS155,1.0,1.0,1.0,1.0
BAK1,1.0,1.0,1.0,1.0
BAX,1.0,1.0,1.0,1.0
BCL2,1.0,1.0,1.0,1.0
BCL2L1,1.0,1.0,1.0,1.0
BCL2L11,1.0,1.0,1.0,1.0
BECN1,1.0,1.0,1.0,1.0
BID,1.0,1.0,1.0,1.0
BIRC2,1.0,1.0,1.0,1.0
BIRC5,1.0,1.0,1.0,1.0
BMI1,1.0,1.0,1.0,1.0
BRAF,1.0,1.0,1.0,1.0
CASP3,1.0,1.0,1.0,1.0
CASP3.cl175,1.0,1.0,1.0,1.0
CASP7.cl198,1.0,1.0,1.0,1.0
CASP8,1.0,1.0,1.0,1.0
CASP9,1.0,1.0,1.0,1.0
CASP9.cl315,1.0,1.0,1.0,1.0
CASP9.cl330,1.0,1.0,1.0,1.0
CAV1,1.0,1.0,1.0,1.0
CBL,1.0,1.0,1.0,1.0
CCNB1,1.0,1.0,1.0,1.0
CCND1,1.0,1.0,1.0,1.0
CCND3,1.0,1.0,1.0,1.0
CCNE1,1.0,1.0,1.0,1.0
CCNE2,1.0,1.0,1.0,1.0
CD44,1.0,1.0,1.0,1.0
CD74,1.0,1.0,1.0,1.0
CDK1,1.0,1.0,1.0,1.0
CDK2,1.0,1.0,1.0,1.0
CDK4,1.0,1.0,1.0,1.0
CDKN1A,1.0,1.0,1.0,1.0
CDKN2A,1.0,1.0,1.0,1.0
CLPP,1.0,1.0,1.0,1.0
COPS5,1.0,1.0,1.0,1.0
CREB1,1.0,1.0,1.0,1.0
CREB1.pS133,1.0,1.0,1.0,1.0
CTNNA1,1.0,1.0,1.0,1.0
CTNNB1,1.0,1.0,1.0,1.0
CTNNB1.pS33_37_41,1.0,1.0,1.0,1.0
CTSG,1.0,1.0,1.0,1.0
DIABLO,1.0,1.0,1.0,1.0
DLX1,1.0,1.0,1.0,1.0
DUSP6,1.0,1.0,1.0,1.0
EGFR,1.0,1.0,1.0,1.0
EGFR.pY992,1.0,1.0,1.0,1.0
EGLN1,1.0,1.0,1.0,1.0
EIF2AK2,1.0,1.0,1.0,1.0
EIF2AK2.pT451,1.0,1.0,1.0,1.0
EIF2S1,1.0,1.0,1.0,1.0
EIF2S1.pS51.,1.0,1.0,1.0,1.0
EIF4E,1.0,1.0,1.0,1.0
ELK1.pS383,1.0,1.0,1.0,1.0
ERBB2,1.0,1.0,1.0,1.0
ERBB2.pY1248,1.0,1.0,1.0,1.0
ERBB3,1.0,1.0,1.0,1.0
ERG,1.0,1.0,1.0,1.0
Fli1,1.0,1.0,1.0,1.0
FN1,1.0,1.0,1.0,1.0
FOXO1.pT24_FOXO3.pT32,1.0,1.0,1.0,1.0
FOXO3,1.0,1.0,1.0,1.0
FOXO3.S318_321,1.0,1.0,1.0,1.0
GAB2,1.0,1.0,1.0,1.0
GAB2.pY452,1.0,1.0,1.0,1.0
GAPDH,1.0,1.0,1.0,1.0
GATA1,1.0,1.0,1.0,1.0
GATA3,1.0,1.0,1.0,1.0
GRP78,1.0,1.0,1.0,1.0
GSKA_B,1.0,1.0,1.0,1.0
GSKA_B.pS21_9,1.0,1.0,1.0,1.0
H3histon,1.0,1.0,1.0,1.0
H3K27Me3,1.0,1.0,1.0,1.0
H3K4Me2,1.0,1.0,1.0,1.0
H3K4Me3,1.0,1.0,1.0,1.0
HDAC1,1.0,1.0,1.0,1.0
HDAC2,1.0,1.0,1.0,1.0
HDAC3,1.0,1.0,1.0,1.0
HIF1A,1.0,1.0,1.0,1.0
HNRNPK,1.0,1.0,1.0,1.0
HSP90AA1_B1,1.0,1.0,1.0,1.0
HSPA1A_L,1.0,1.0,1.0,1.0
HSPB1,1.0,1.0,1.0,1.0
IGF1R,1.0,1.0,1.0,1.0
IGFBP2,1.0,1.0,1.0,1.0
INPP5D,1.0,1.0,1.0,1.0
INPPL1,1.0,1.0,1.0,1.0
IRS1.pS1101,1.0,1.0,1.0,1.0
ITGA2,1.0,1.0,1.0,1.0
ITGAL,1.0,1.0,1.0,1.0
ITGB3,1.0,1.0,1.0,1.0
JMJD6,1.0,1.0,1.0,1.0
JUNB,1.0,1.0,1.0,1.0
JUN.pS73,1.0,1.0,1.0,1.0
KDR,1.0,1.0,1.0,1.0
KIT,1.0,1.0,1.0,1.0
LCK,1.0,1.0,1.0,1.0
LEF1,1.0,1.0,1.0,1.0
LGALS3,1.0,1.0,1.0,1.0
LSD1,1.0,1.0,1.0,1.0
LYN,1.0,1.0,1.0,1.0
MAP2K1,1.0,1.0,1.0,1.0
MAP2K1_2.pS217_221,1.0,1.0,1.0,1.0
MAPK1,1.0,1.0,1.0,1.0
MAPK1_3.pT202Y204,1.0,1.0,1.0,1.0
MAPK14,1.0,1.0,1.0,1.0
MAPK14.pT180Y182,1.0,1.0,1.0,1.0
MAPK9,1.0,1.0,1.0,1.0
MAPT,1.0,1.0,1.0,1.0
MCL1,1.0,1.0,1.0,1.0
MDM2,1.0,1.0,1.0,1.0
MDM4,1.0,1.0,1.0,1.0
MET.pY1230_1234_1235,1.0,1.0,1.0,1.0
MSI2,1.0,1.0,1.0,1.0
MTOR,1.0,1.0,1.0,1.0
MTOR.pS2448,1.0,1.0,1.0,1.0
MYC,1.0,1.0,1.0,1.0
NCL,1.0,1.0,1.0,1.0
NF2,1.0,1.0,1.0,1.0
NF2.pS518,1.0,1.0,1.0,1.0
NOTCH1.cl1744,1.0,1.0,1.0,1.0
NOTCH3,1.0,1.0,1.0,1.0
NPM1,1.0,1.0,1.0,1.0
NPM1.3542,1.0,1.0,1.0,1.0
NR4A1,1.0,1.0,1.0,1.0
NRP1,1.0,1.0,1.0,1.0
ODC1,1.0,1.0,1.0,1.0
PA2G4,1.0,1.0,1.0,1.0
PA2G4.pS65,1.0,1.0,1.0,1.0
PA2G4.pT37_46,1.0,1.0,1.0,1.0
PA2G4.pT70,1.0,1.0,1.0,1.0
PARK7,1.0,1.0,1.0,1.0
PARP1,1.0,1.0,1.0,1.0
PARP1.cl214,1.0,1.0,1.0,1.0
PDK1,1.0,1.0,1.0,1.0
PDK1.pS241,1.0,1.0,1.0,1.0
PIK3CA,1.0,1.0,1.0,1.0
PIK3R1_2,1.0,1.0,1.0,1.0
PIM1,1.0,1.0,1.0,1.0
PIM2,1.0,1.0,1.0,1.0
PLAC1,1.0,1.0,1.0,1.0
PPARA,1.0,1.0,1.0,1.0
PPARG,1.0,1.0,1.0,1.0
PPP2R2A_B_C_D,1.0,1.0,1.0,1.0
PRKAA1_2,1.0,1.0,1.0,1.0
PRKAA1_2.pT172,1.0,1.0,1.0,1.0
PRKCA,1.0,1.0,1.0,1.0
PRKCA.pS657,1.0,1.0,1.0,1.0
PRKCB.I,1.0,1.0,1.0,1.0
PRKCB.II,1.0,1.0,1.0,1.0
PRKCD.pS645,1.0,1.0,1.0,1.0
PRKCD.pS664,1.0,1.0,1.0,1.0
PRKCD.pT507,1.0,1.0,1.0,1.0
CDKN1B,1.0,1.0,1.0,1.0
CDKN1B.pS10,1.0,1.0,1.0,1.0
PTEN,1.0,1.0,1.0,1.0
PTEN.pS380T382T383,1.0,1.0,1.0,1.0
PTGS2,1.0,1.0,1.0,1.0
PTK2,1.0,1.0,1.0,1.0
PTPN11,1.0,1.0,1.0,1.0
RAC1_2_3,1.0,1.0,1.0,1.0
RB1,1.0,1.0,1.0,1.0
RB1.pS807_811,1.0,1.0,1.0,1.0
RELA,1.0,1.0,1.0,1.0
RPS6,1.0,1.0,1.0,1.0
RPS6KB1,1.0,1.0,1.0,1.0
RPS6KB1.pT389,1.0,1.0,1.0,1.0
RPS6.pS235_236,1.0,1.0,1.0,1.0
RPS6.pS240_244,1.0,1.0,1.0,1.0
SFN,1.0,1.0,1.0,1.0
SIRT1,1.0,1.0,1.0,1.0
SMAD1,1.0,1.0,1.0,1.0
SMAD2,1.0,1.0,1.0,1.0
SMAD2.pS245,1.0,1.0,1.0,1.0
SMAD2.pS465,1.0,1.0,1.0,1.0
SMAD3,1.0,1.0,1.0,1.0
SMAD4,1.0,1.0,1.0,1.0
SMAD5,1.0,1.0,1.0,1.0
SMAD5.pS463,1.0,1.0,1.0,1.0
SMAD6,1.0,1.0,1.0,1.0
SOCS2,1.0,1.0,1.0,1.0
SPI1,1.0,1.0,1.0,1.0
SPP1,1.0,1.0,1.0,1.0
SQSTM0,1.0,1.0,1.0,1.0
SRC,1.0,1.0,1.0,1.0
SRC.pY416,1.0,1.0,1.0,1.0
SRC.pY527,1.0,1.0,1.0,1.0
SSBP2,1.0,1.0,1.0,1.0
STAT1,1.0,1.0,1.0,1.0
STAT1.pY701,1.0,1.0,1.0,1.0
STAT3,1.0,1.0,1.0,1.0
STAT3.pS727,1.0,1.0,1.0,1.0
STAT3.pY705,1.0,1.0,1.0,1.0
STAT5A_B,1.0,1.0,1.0,1.0
STAT5A_B.pY694,1.0,1.0,1.0,1.0
STAT6.pY641,1.0,1.0,1.0,1.0
STK11,1.0,1.0,1.0,1.0
STMN1,1.0,1.0,1.0,1.0
TAZ,1.0,1.0,1.0,1.0
TAZ.pS89,1.0,1.0,1.0,1.0
TCF4,1.0,1.0,1.0,1.0
TGM2,1.0,1.0,1.0,1.0
TNK1,1.0,1.0,1.0,1.0
TP53,1.0,1.0,1.0,1.0
TP53.pS15,1.0,1.0,1.0,1.0
TRIM24,1.0,1.0,1.0,1.0
TRIM62,1.0,1.0,1.0,1.0
TSC2,1.0,1.0,1.0,1.0
VASP,1.0,1.0,1.0,1.0
VHL,1.0,1.0,1.0,1.0
WTAP,1.0,1.0,1.0,1.0
XIAP,1.0,1.0,1.0,1.0
XPO1,1.0,1.0,1.0,1.0
YAP1,1.0,1.0,1.0,1.0
YAP1p,1.0,1.0,1.0,1.0
YWHAE,1.0,1.0,1.0,1.0
YWHAZ,1.0,1.0,1.0,1.0
ZNF296,1.0,1.0,1.0,1.0
ZNF346,1.0,1.0,1.0,1.0
Ras.Stat,1.0,1.0,1.0,1.0
PRIOR.MAL,1.0,1.0,1.0,1.0
PRIOR.CHEMO,1.0,1.0,1.0,1.0
ITD,1.0,1.0,1.0,1.0
Infection,1.0,1.0,1.0,1.0
SEX,1.0,1.0,1.0,1.0
D835,1.0,1.0,1.0,1.0
PRIOR.XRT,1.0,1.0,1.0,1.0
cyto.cat=diploid,1.0,1.0,1.0,1.0
cyto.cat=-5,1.0,1.0,1.0,1.0
cyto.cat=IM,1.0,1.0,1.0,1.0
cyto.cat=Misc,1.0,1.0,1.0,1.0
cyto.cat=11q23,1.0,1.0,1.0,1.0
"cyto.cat=-5,-7",1.0,1.0,1.0,1.0
cyto.cat=8,1.0,1.0,1.0,1.0
cyto.cat=-7,1.0,1.0,1.0,1.0
"cyto.cat=-5,-7,+8",1.0,1.0,1.0,1.0
cyto.cat=t6;9,1.0,1.0,1.0,1.0
cyto.cat=21,1.0,1.0,1.0,1.0
cyto.cat=inv9,1.0,1.0,1.0,1.0
"cyto.cat=-7,+8",1.0,1.0,1.0,1.0
cyto.cat=t9;22,1.0,1.0,1.0,1.0
ACTB_Squared,1.0,1.0,1.0,1.0
AIFM1_Squared,1.0,1.0,1.0,1.0
AKT1_Squared,1.0,1.0,1.0,1.0
AKT1_2_3.pS473_Squared,1.0,1.0,1.0,1.0
AKT1_2_3.pT308_Squared,1.0,1.0,1.0,1.0
ARC_Squared,1.0,1.0,1.0,1.0
ASH2L_Squared,1.0,1.0,1.0,1.0
ASNS_Squared,1.0,1.0,1.0,1.0
ATF3_Squared,1.0,1.0,1.0,1.0
ATG7_Squared,1.0,1.0,1.0,1.0
BAD_Squared,1.0,1.0,1.0,1.0
BAD.pS112_Squared,1.0,1.0,1.0,1.0
BAD.pS136_Squared,1.0,1.0,1.0,1.0
BAD.pS155_Squared,1.0,1.0,1.0,1.0
BAK1_Squared,1.0,1.0,1.0,1.0
BAX_Squared,1.0,1.0,1.0,1.0
BCL2_Squared,1.0,1.0,1.0,1.0
BCL2L1_Squared,1.0,1.0,1.0,1.0
BCL2L11_Squared,1.0,1.0,1.0,1.0
BECN1_Squared,1.0,1.0,1.0,1.0
BID_Squared,1.0,1.0,1.0,1.0
BIRC2_Squared,1.0,1.0,1.0,1.0
BIRC5_Squared,1.0,1.0,1.0,1.0
BMI1_Squared,1.0,1.0,1.0,1.0
BRAF_Squared,1.0,1.0,1.0,1.0
CASP3_Squared,1.0,1.0,1.0,1.0
CASP3.cl175_Squared,1.0,1.0,1.0,1.0
CASP7.cl198_Squared,1.0,1.0,1.0,1.0
CASP8_Squared,1.0,1.0,1.0,1.0
CASP9_Squared,1.0,1.0,1.0,1.0
CASP9.cl315_Squared,1.0,1.0,1.0,1.0
CASP9.cl330_Squared,1.0,1.0,1.0,1.0
CAV1_Squared,1.0,1.0,1.0,1.0
CBL_Squared,1.0,1.0,1.0,1.0
CCNB1_Squared,1.0,1.0,1.0,1.0
CCND1_Squared,1.0,1.0,1.0,1.0
CCND3_Squared,1.0,1.0,1.0,1.0
CCNE1_Squared,1.0,1.0,1.0,1.0
CCNE2_Squared,1.0,1.0,1.0,1.0
CD44_Squared,1.0,1.0,1.0,1.0
CD74_Squared,1.0,1.0,1.0,1.0
CDK1_Squared,1.0,1.0,1.0,1.0
CDK2_Squared,1.0,1.0,1.0,1.0
CDK4_Squared,1.0,1.0,1.0,1.0
CDKN1A_Squared,1.0,1.0,1.0,1.0
CDKN2A_Squared,1.0,1.0,1.0,1.0
CLPP_Squared,1.0,1.0,1.0,1.0
COPS5_Squared,1.0,1.0,1.0,1.0
CREB1_Squared,1.0,1.0,1.0,1.0
CREB1.pS133_Squared,1.0,1.0,1.0,1.0
CTNNA1_Squared,1.0,1.0,1.0,1.0
CTNNB1_Squared,1.0,1.0,1.0,1.0
CTNNB1.pS33_37_41_Squared,1.0,1.0,1.0,1.0
CTSG_Squared,1.0,1.0,1.0,1.0
DIABLO_Squared,1.0,1.0,1.0,1.0
DLX1_Squared,1.0,1.0,1.0,1.0
DUSP6_Squared,1.0,1.0,1.0,1.0
EGFR_Squared,1.0,1.0,1.0,1.0
EGFR.pY992_Squared,1.0,1.0,1.0,1.0
EGLN1_Squared,1.0,1.0,1.0,1.0
EIF2AK2_Squared,1.0,1.0,1.0,1.0
EIF2AK2.pT451_Squared,1.0,1.0,1.0,1.0
EIF2S1_Squared,1.0,1.0,1.0,1.0
EIF2S1.pS51._Squared,1.0,1.0,1.0,1.0
EIF4E_Squared,1.0,1.0,1.0,1.0
ELK1.pS383_Squared,1.0,1.0,1.0,1.0
ERBB2_Squared,1.0,1.0,1.0,1.0
ERBB2.pY1248_Squared,1.0,1.0,1.0,1.0
ERBB3_Squared,1.0,1.0,1.0,1.0
ERG_Squared,1.0,1.0,1.0,1.0
Fli1_Squared,1.0,1.0,1.0,1.0
FN1_Squared,1.0,1.0,1.0,1.0
FOXO1.pT24_FOXO3.pT32_Squared,1.0,1.0,1.0,1.0
FOXO3_Squared,1.0,1.0,1.0,1.0
FOXO3.S318_321_Squared,1.0,1.0,1.0,1.0
GAB2_Squared,1.0,1.0,1.0,1.0
GAB2.pY452_Squared,1.0,1.0,1.0,1.0
GAPDH_Squared,1.0,1.0,1.0,1.0
GATA1_Squared,1.0,1.0,1.0,1.0
GATA3_Squared,1.0,1.0,1.0,1.0
GRP78_Squared,1.0,1.0,1.0,1.0
GSKA_B_Squared,1.0,1.0,1.0,1.0
GSKA_B.pS21_9_Squared,1.0,1.0,1.0,1.0
H3histon_Squared,1.0,1.0,1.0,1.0
H3K27Me3_Squared,1.0,1.0,1.0,1.0
H3K4Me2_Squared,1.0,1.0,1.0,1.0
H3K4Me3_Squared,1.0,1.0,1.0,1.0
HDAC1_Squared,1.0,1.0,1.0,1.0
HDAC2_Squared,1.0,1.0,1.0,1.0
HDAC3_Squared,1.0,1.0,1.0,1.0
HIF1A_Squared,1.0,1.0,1.0,1.0
HNRNPK_Squared,1.0,1.0,1.0,1.0
HSP90AA1_B1_Squared,1.0,1.0,1.0,1.0
HSPA1A_L_Squared,1.0,1.0,1.0,1.0
HSPB1_Squared,1.0,1.0,1.0,1.0
IGF1R_Squared,1.0,1.0,1.0,1.0
IGFBP2_Squared,1.0,1.0,1.0,1.0
INPP5D_Squared,1.0,1.0,1.0,1.0
INPPL1_Squared,1.0,1.0,1.0,1.0
IRS1.pS1101_Squared,1.0,1.0,1.0,1.0
ITGA2_Squared,1.0,1.0,1.0,1.0
ITGAL_Squared,1.0,1.0,1.0,1.0
ITGB3_Squared,1.0,1.0,1.0,1.0
JMJD6_Squared,1.0,1.0,1.0,1.0
JUNB_Squared,1.0,1.0,1.0,1.0
JUN.pS73_Squared,1.0,1.0,1.0,1.0
KDR_Squared,1.0,1.0,1.0,1.0
KIT_Squared,1.0,1.0,1.0,1.0
LCK_Squared,1.0,1.0,1.0,1.0
LEF1_Squared,1.0,1.0,1.0,1.0
LGALS3_Squared,1.0,1.0,1.0,1.0
LSD1_Squared,1.0,1.0,1.0,1.0
LYN_Squared,1.0,1.0,1.0,1.0
MAP2K1_Squared,1.0,1.0,1.0,1.0
MAP2K1_2.pS217_221_Squared,1.0,1.0,1.0,1.0
MAPK1_Squared,1.0,1.0,1.0,1.0
MAPK1_3.pT202Y204_Squared,1.0,1.0,1.0,1.0
MAPK14_Squared,1.0,1.0,1.0,1.0
MAPK14.pT180Y182_Squared,1.0,1.0,1.0,1.0
MAPK9_Squared,1.0,1.0,1.0,1.0
MAPT_Squared,1.0,1.0,1.0,1.0
MCL1_Squared,1.0,1.0,1.0,1.0
MDM2_Squared,1.0,1.0,1.0,1.0
MDM4_Squared,1.0,1.0,1.0,1.0
MET.pY1230_1234_1235_Squared,1.0,1.0,1.0,1.0
MSI2_Squared,1.0,1.0,1.0,1.0
MTOR_Squared,1.0,1.0,1.0,1.0
MTOR.pS2448_Squared,1.0,1.0,1.0,1.0
MYC_Squared,1.0,1.0,1.0,1.0
NCL_Squared,1.0,1.0,1.0,1.0
NF2_Squared,1.0,1.0,1.0,1.0
NF2.pS518_Squared,1.0,1.0,1.0,1.0
NOTCH1.cl1744_Squared,1.0,1.0,1.0,1.0
NOTCH3_Squared,1.0,1.0,1.0,1.0
NPM1_Squared,1.0,1.0,1.0,1.0
NPM1.3542_Squared,1.0,1.0,1.0,1.0
NR4A1_Squared,1.0,1.0,1.0,1.0
NRP1_Squared,1.0,1.0,1.0,1.0
ODC1_Squared,1.0,1.0,1.0,1.0
PA2G4_Squared,1.0,1.0,1.0,1.0
PA2G4.pS65_Squared,1.0,1.0,1.0,1.0
PA2G4.pT37_46_Squared,1.0,1.0,1.0,1.0
PA2G4.pT70_Squared,1.0,1.0,1.0,1.0
PARK7_Squared,1.0,1.0,1.0,1.0
PARP1_Squared,1.0,1.0,1.0,1.0
PARP1.cl214_Squared,1.0,1.0,1.0,1.0
PDK1_Squared,1.0,1.0,1.0,1.0
PDK1.pS241_Squared,1.0,1.0,1.0,1.0
PIK3CA_Squared,1.0,1.0,1.0,1.0
PIK3R1_2_Squared,1.0,1.0,1.0,1.0
PIM1_Squared,1.0,1.0,1.0,1.0
PIM2_Squared,1.0,1.0,1.0,1.0
PLAC1_Squared,1.0,1.0,1.0,1.0
PPARA_Squared,1.0,1.0,1.0,1.0
PPARG_Squared,1.0,1.0,1.0,1.0
PPP2R2A_B_C_D_Squared,1.0,1.0,1.0,1.0
PRKAA1_2_Squared,1.0,1.0,1.0,1.0
PRKAA1_2.pT172_Squared,1.0,1.0,1.0,1.0
PRKCA_Squared,1.0,1.0,1.0,1.0
PRKCA.pS657_Squared,1.0,1.0,1.0,1.0
PRKCB.I_Squared,1.0,1.0,1.0,1.0
PRKCB.II_Squared,1.0,1.0,1.0,1.0
PRKCD.pS645_Squared,1.0,1.0,1.0,1.0
PRKCD.pS664_Squared,1.0,1.0,1.0,1.0
PRKCD.pT507_Squared,1.0,1.0,1.0,1.0
CDKN1B_Squared,1.0,1.0,1.0,1.0
CDKN1B.pS10_Squared,1.0,1.0,1.0,1.0
PTEN_Squared,1.0,1.0,1.0,1.0
PTEN.pS380T382T383_Squared,1.0,1.0,1.0,1.0
PTGS2_Squared,1.0,1.0,1.0,1.0
PTK2_Squared,1.0,1.0,1.0,1.0
PTPN11_Squared,1.0,1.0,1.0,1.0
RAC1_2_3_Squared,1.0,1.0,1.0,1.0
RB1_Squared,1.0,1.0,1.0,1.0
RB1.pS807_811_Squared,1.0,1.0,1.0,1.0
RELA_Squared,1.0,1.0,1.0,1.0
RPS6_Squared,1.0,1.0,1.0,1.0
RPS6KB1_Squared,1.0,1.0,1.0,1.0
RPS6KB1.pT389_Squared,1.0,1.0,1.0,1.0
RPS6.pS235_236_Squared,1.0,1.0,1.0,1.0
RPS6.pS240_244_Squared,1.0,1.0,1.0,1.0
SFN_Squared,1.0,1.0,1.0,1.0
SIRT1_Squared,1.0,1.0,1.0,1.0
SMAD1_Squared,1.0,1.0,1.0,1.0
SMAD2_Squared,1.0,1.0,1.0,1.0
SMAD2.pS245_Squared,1.0,1.0,1.0,1.0
SMAD2.pS465_Squared,1.0,1.0,1.0,1.0
SMAD3_Squared,1.0,1.0,1.0,1.0
SMAD4_Squared,1.0,1.0,1.0,1.0
SMAD5_Squared,1.0,1.0,1.0,1.0
SMAD5.pS463_Squared,1.0,1.0,1.0,1.0
SMAD6_Squared,1.0,1.0,1.0,1.0
SOCS2_Squared,1.0,1.0,1.0,1.0
SPI1_Squared,1.0,1.0,1.0,1.0
SPP1_Squared,1.0,1.0,1.0,1.0
SQSTM0_Squared,1.0,1.0,1.0,1.0
SRC_Squared,1.0,1.0,1.0,1.0
SRC.pY416_Squared,1.0,1.0,1.0,1.0
SRC.pY527_Squared,1.0,1.0,1.0,1.0
SSBP2_Squared,1.0,1.0,1.0,1.0
STAT1_Squared,1.0,1.0,1.0,1.0
STAT1.pY701_Squared,1.0,1.0,1.0,1.0
STAT3_Squared,1.0,1.0,1.0,1.0
STAT3.pS727_Squared,1.0,1.0,1.0,1.0
STAT3.pY705_Squared,1.0,1.0,1.0,1.0
STAT5A_B_Squared,1.0,1.0,1.0,1.0
STAT5A_B.pY694_Squared,1.0,1.0,1.0,1.0
STAT6.pY641_Squared,1.0,1.0,1.0,1.0
STK11_Squared,1.0,1.0,1.0,1.0
STMN1_Squared,1.0,1.0,1.0,1.0
TAZ_Squared,1.0,1.0,1.0,1.0
TAZ.pS89_Squared,1.0,1.0,1.0,1.0
TCF4_Squared,1.0,1.0,1.0,1.0
TGM2_Squared,1.0,1.0,1.0,1.0
TNK1_Squared,1.0,1.0,1.0,1.0
TP53_Squared,1.0,1.0,1.0,1.0
TP53.pS15_Squared,1.0,1.0,1.0,1.0
TRIM24_Squared,1.0,1.0,1.0,1.0
TRIM62_Squared,1.0,1.0,1.0,1.0
TSC2_Squared,1.0,1.0,1.0,1.0
VASP_Squared,1.0,1.0,1.0,1.0
VHL_Squared,1.0,1.0,1.0,1.0
WTAP_Squared,1.0,1.0,1.0,1.0
XIAP_Squared,1.0,1.0,1.0,1.0
XPO1_Squared,1.0,1.0,1.0,1.0
YAP1_Squared,1.0,1.0,1.0,1.0
YAP1p_Squared,1.0,1.0,1.0,1.0
YWHAE_Squared,1.0,1.0,1.0,1.0
YWHAZ_Squared,1.0,1.0,1.0,1.0
ZNF296_Squared,1.0,1.0,1.0,1.0
ZNF346_Squared,1.0,1.0,1.0,1.0
PCA_1,1.0,1.0,1.0,1.0
